bill_id,customer_name,city,state,product_category,quantity,total_amount,cost_amount,profit_amount,margin_pct,payment_method,store_type,visit_date
1573,Suman Iyer,Guwahati,Assam,Stationery,6,459,389,70,0.152,UPI,Mall Store,18-02-2025
1984,Swati Verma,Jodhpur,Rajasthan,Stationery,5,345,284,61,0.177,Cash,Mall Store,22-03-2025
1783,Amit Patel,Varanasi,Uttar Pradesh,Electronics,2,18660,17223,1437,0.077,,Mall Store,18-03-2025
1537,Anjali Rao,Kolhapur,Maharashtra,Grocery,3,141,127,14,0.101,UPI,Mall Store,27-01-2025
2145,Harsh Patel,Coimbatore,Tamil Nadu,Clothing,5,4240,3193,1047,0.247,UPI,Mall Store,24-03-2025
1310,Kavita Rao,Nashik,Maharashtra,Electronics,1,7290,6605,685,0.094,Cash,Supermarket,24-02-2025
2366,Kavita Bansal,Patna,Bihar,Stationery,3,200,164,36,0.181,UPI,Supermarket,25-01-2025
1249,Swati Mehta,Coimbatore,Tamil Nadu,Grocery,6,520,444,76,0.146,Cash,Mall Store,06-01-2025
1182,Kavita Joshi,Prayagraj,Uttar Pradesh,Grocery,8,377,332,45,0.119,Cash,Supermarket,23-02-2025
1092,Nisha Nair,Trivandrum,Kerala,Grocery,4,298,263,35,0.118,Credit Card,Local Store,28-03-2025
1932,Neha Nair,Prayagraj,Uttar Pradesh,Stationery,9,970,798,172,0.177,Credit Card,Mall Store,29-03-2025
2407,Naveen Bansal,Sangli,Maharashtra,Clothing,6,2840,2261,579,0.204,UPI,Supermarket,19-03-2025
1980,Anita Kapoor,Noida,Uttar Pradesh,Electronics,2,21320,19678,1642,0.077,Credit Card,Local Store,01-01-2025
1572,Neha Verma,Meerut,Uttar Pradesh,Clothing,6,8420,5734,2686,0.319,UPI,Mall Store,17-01-2025
1383,Rahul Verma,Nashik,Maharashtra,Electronics,2,1130,997,133,0.118,UPI,Mall Store,22-02-2025
1326,Preeti Sharma,Indore,Madhya Pradesh,Stationery,5,229,185,44,0.194,Credit Card,Local Store,01-01-2025
2260,Swati Malhotra,Gorakhpur,Uttar Pradesh,Clothing,5,4420,3258,1162,0.263,UPI,Supermarket,24-02-2025
1410,Vivek Sharma,Nashik,Maharashtra,Grocery,6,406,337,69,0.169,UPI,Supermarket,24-03-2025
2264,Alok Nair,Kolhapur,Maharashtra,Clothing,3,1870,1417,453,0.242,UPI,Supermarket,26-03-2025
2252,Kiran Agarwal,Visakhapatnam,Andhra Pradesh,Grocery,3,218,191,27,0.122,Credit Card,Supermarket,25-03-2025
2099,Suresh Nair,Prayagraj,Uttar Pradesh,Electronics,2,22410,20191,2219,0.099,UPI,Supermarket,08-02-2025
1654,Amit Agarwal,Nashik,Maharashtra,Clothing,6,3410,2670,740,0.217,Cash,Local Store,09-02-2025
1941,Harsh Saxena,Delhi,Delhi,Electronics,2,7040,6280,760,0.108,UPI,Mall Store,21-03-2025
1910,Amit Bansal,Mumbai,Maharashtra,Grocery,5,462,401,61,0.133,UPI,Supermarket,09-03-2025
1608,Ashok Reddy,Nashik,Maharashtra,Electronics,1,3640,3225,415,0.114,Credit Card,Local Store,04-03-2025
1120,Ajay Joshi,Mangalore,Karnataka,Stationery,4,340,273,67,0.197,Debit Card,Supermarket,10-01-2025
1767,Payal Verma,Kolkata,West Bengal,Grocery,5,297,259,38,0.129,Credit Card,Supermarket,07-01-2025
2132,Meera Gupta,Pune,Maharashtra,Grocery,5,332,294,38,0.115,Credit Card,Mall Store,19-02-2025
1893,Alok Sharma,Kolhapur,Maharashtra,Grocery,6,456,381,75,0.164,Debit Card,Mall Store,16-03-2025
1985,Sanjay Yadav,Panipat,Haryana,Electronics,1,7990,7031,959,0.12,Credit Card,Local Store,10-01-2025
2113,Rohit Mehta,Bhubaneswar,Odisha,Grocery,6,438,360,78,0.179,UPI,Mall Store,27-01-2025
2184,Alok Chopra,Jodhpur,Rajasthan,Electronics,2,5010,4649,361,0.072,UPI,Mall Store,24-03-2025
1336,Harsh Rao,Noida,Uttar Pradesh,Clothing,4,3420,2404,1016,0.297,UPI,Mall Store,31-01-2025
1061,Naveen Joshi,Siliguri,West Bengal,Electronics,2,12650,11486,1164,0.092,Debit Card,Local Store,11-03-2025
